Date,nifty,ril,lt,tcs,inr/usd,,,
25-11-2022,0.001548802,0.014817374,0.005127706,0.002806396,0.000275668,,,
28-11-2022,0.002697201,0.033786269,0.00082374,0.001650837,0.00017508,,,
29-11-2022,0.002974698,0.001715914,-0.006755762,0.000618325,-0.000237589,,,
30-11-2022,0.007507384,0.007035852,0.01178083,-0.001929808,-0.000237646,,,
01-12-2022,0.002882577,-0.002951546,0.014070195,0.024715654,-0.003996658,,,
02-12-2022,-0.006206617,-0.000422477,-0.008950451,-0.01055725,-0.001761546,,,
05-12-2022,0.000264789,-0.01469138,4.80E-05,-0.003860165,0.003202022,,,
06-12-2022,-0.003122383,0.00288496,0.003780653,-0.011906855,0.005835151,,,
07-12-2022,-0.004421664,-0.014867257,0.014463808,-0.001404145,0.005761195,,,
08-12-2022,0.002628455,-0.000471722,0.020365543,-0.008928539,-0.001442037,,,
09-12-2022,-0.006077211,-0.015271198,-0.006316839,-0.017401579,0.000312349,,,
12-12-2022,2.98E-05,0.001531891,0.004469876,-0.001915142,0.001624902,,,
13-12-2022,0.005974908,0.004543656,0.004242915,0.013794843,0.00280747,,,
14-12-2022,0.002806719,-0.003625609,0.010324471,0.009929248,-0.002934954,,,
15-12-2022,-0.013238174,-0.014305646,-0.008186597,-0.018065153,0.001279566,,,
16-12-2022,-0.007954506,-0.004957274,-0.001171806,-0.019816283,0.004231825,,,
19-12-2022,0.008255784,0.013049779,0.004129387,-0.011859312,-0.001593206,,,
20-12-2022,-0.001909943,0.008618965,-0.009546364,0.013000408,-0.00174337,,,
21-12-2022,-0.010179354,-0.014329038,-0.007866179,0.007554853,0.000665788,,,
22-12-2022,-0.003950295,-0.002595782,-0.017081224,-0.002711255,0.002920565,,,
23-12-2022,-0.017841375,-0.029766017,-0.022624182,-0.009664065,-4.46E-05,,,
26-12-2022,0.011602068,0.008694452,0.013626289,0.00757564,-0.003272898,,,
27-12-2022,0.006512403,0.008148043,0.015681826,0.002027086,0.003610698,,,
28-12-2022,-0.000540661,-9.83E-05,-0.001413321,-0.000736753,-0.001530678,,,
29-12-2022,0.003772706,-0.000451987,-0.004820518,0.003570594,0.000916478,,,
30-12-2022,-0.00472221,0.00153225,-0.01196189,-0.003693452,-0.000203988,,,
02-01-2023,0.005076675,0.011204232,0.00174831,0.001457682,-0.001030247,,,
03-01-2023,0.00192707,-0.007344659,-0.00023928,0.01518405,-0.000529451,,,
04-01-2023,-0.010453518,-0.015170919,-0.008847178,0.000995975,0.00096315,,,
05-01-2023,-0.00281941,-0.001788329,0.008081049,-0.001071587,-0.00144092,,,
06-01-2023,-0.007402837,0.009047753,-0.000383402,-0.03052668,-0.000257618,,,
09-01-2023,0.013445455,0.023337078,0.016705617,0.03319598,-0.004508938,,,
10-01-2023,-0.010387266,-0.014897879,-0.007118635,-0.010157008,-0.001134666,,,
11-01-2023,-0.001030508,-0.012685657,0.008837618,0.012789055,-0.006625711,,,
12-01-2023,-0.002097674,-0.021830562,0.016055937,0.001696088,-6.86E-05,,,
13-01-2023,0.005494971,-0.001619762,-0.00294459,0.011984176,-0.00634356,,,
16-01-2023,-0.003444773,-0.009569043,-0.007551439,0.007980007,0.002000071,,,
17-01-2023,0.008815597,0.014097625,0.03489781,0.013214344,0.004598325,,,
18-01-2023,0.006187375,-0.001655446,0.023842514,0.003427865,-0.001557877,,,
